symbol,date,open,high,low,close,network,range,intraday_ret,ret_1,ret_7,rsi_14,roll_mean_7,roll_std_7,roll_max_7,roll_min_7,roll_mean_14,roll_std_14,roll_max_14,roll_min_14,roll_mean_30,roll_std_30,roll_max_30,roll_min_30,lag_1,lag_2,lag_3,lag_5,lag_7,lag_14,trend_ret,trend_label,volatility,vol_label,market_state
BTCUSDT,2018-08-31,6984.84,7089.0,6888.0,7011.21,Bitcoin,201.0,0.0037753191196929514,0.003775319119693421,0.049324716686322434,62.16974674830577,6920.808571428571,148.61484497727218,7076.11,6700.0,6686.680714285715,278.8317706338981,7076.11,6254.84,6644.808000000001,375.02235410521956,7525.71,6144.01,6984.84,7031.22,7076.11,6700.0,6681.64,6584.49,0.049324716686322434,Bullish,0.02817239578205509,LowVol,Bullish_LowVol
BTCUSDT,2018-09-01,7011.21,7275.0,7008.74,7200.01,Bitcoin,266.2600000000002,0.026928304814714327,0.026928304814718196,0.06925971688418153,73.26164299528172,6987.432857142857,155.117175248721,7200.01,6700.0,6744.684285714286,295.85392995957835,7200.01,6254.84,6633.9513333333325,352.69094252063235,7418.78,6144.01,7011.21,6984.84,7031.22,6908.64,6733.64,6387.96,0.06925971688418153,Bullish,0.028624072938421202,LowVol,Bullish_LowVol
BTCUSDT,2018-09-02,7201.57,7345.45,7127.0,7302.01,Bitcoin,218.44999999999982,0.013946958788151272,0.014166646990767973,0.08985223880597015,73.45070823082754,7073.434285714286,134.74385562455484,7302.01,6908.64,6803.575714285714,319.6837207114427,7302.01,6254.84,6630.058999999999,344.2747482136706,7302.01,6144.01,7200.01,7011.21,6984.84,7076.11,6700.0,6477.53,0.08985223880597015,Bullish,0.02864384630258851,LowVol,Bullish_LowVol
BTCUSDT,2018-09-03,7302.0,7338.28,7191.63,7263.02,Bitcoin,146.64999999999964,-0.005338263489454153,-0.005339625664714243,0.05129518979133385,82.02197941738771,7124.0599999999995,128.9575418500191,7302.01,6984.84,6875.588571428571,299.4798185021981,7302.01,6360.89,6638.498333333334,356.7814609096872,7302.01,6144.01,7302.01,7200.01,7011.21,7031.22,6908.64,6254.84,0.05129518979133385,Bullish,0.02672573456334568,LowVol,Bullish_LowVol
BTCUSDT,2018-09-04,7263.0,7410.0,7227.17,7359.06,Bitcoin,182.82999999999993,0.013225939694339415,0.01322314959892723,0.0399866593368392,80.41561712768444,7164.481428571429,153.44317074284686,7359.06,6984.84,6938.378571428571,302.2994222457422,7359.06,6360.89,6649.660666666667,374.08326741269923,7359.06,6144.01,7263.02,7302.01,7200.01,6984.84,7076.11,6480.0,0.0399866593368392,Bullish,0.026810908952615006,LowVol,Bullish_LowVol
BTCUSDT,2018-09-05,7359.05,7397.3,6682.0,6700.0,Bitcoin,715.3000000000002,-0.08955639654573763,-0.08955763371952397,-0.047107045434504946,58.541684508133585,7117.164285714286,232.22863912224713,7359.06,6700.0,6962.600714285714,263.5733077551456,7359.06,6525.01,6641.833333333333,370.3488861389594,7359.06,6144.01,7359.06,7263.02,7302.01,7011.21,7031.22,6360.89,-0.047107045434504946,Bearish,0.0315138729077014,LowVol,Bearish_LowVol
BTCUSDT,2018-09-06,6697.27,6725.0,6265.0,6516.01,Bitcoin,460.0,-0.027064759222783782,-0.0274611940298507,-0.06712107936617018,49.775549902390715,7050.188571428572,325.5910982315373,7359.06,6516.01,6961.957857142857,264.73112607028145,7359.06,6516.01,6635.031666666666,370.73621285856706,7359.06,6144.01,6700.0,7359.06,7263.02,7200.01,6984.84,6525.01,-0.06712107936617018,Bearish,0.03140385989306478,LowVol,Bearish_LowVol
BTCUSDT,2018-09-07,6516.84,6544.0,6320.0,6395.54,Bitcoin,224.0,-0.01861331565605133,-0.01848830802899326,-0.08781223212541056,42.73393134664897,6962.2357142857145,410.07171465721007,7359.06,6395.54,6941.522142857143,297.0985110435349,7359.06,6395.54,6638.716333333333,367.67403263257387,7359.06,6144.01,6516.01,6700.0,7359.06,7302.01,7011.21,6681.64,-0.08781223212541056,Bearish,0.02920138646346315,LowVol,Bearish_LowVol
BTCUSDT,2018-09-08,6395.54,6478.0,6111.0,6185.05,Bitcoin,367.0,-0.03291199804863496,-0.03291199804864009,-0.14096647087990155,37.10553160658721,6817.2414285714285,484.6425642136879,7359.06,6185.05,6902.337142857143,356.8038080692904,7359.06,6185.05,6627.225,376.47770037684126,7359.06,6144.01,6395.54,6516.01,6700.0,7263.02,7200.01,6733.64,-0.14096647087990155,Bearish,0.028927448611851026,LowVol,Bearish_LowVol
BTCUSDT,2018-09-09,6185.06,6441.0,6141.53,6250.81,Bitcoin,299.47000000000025,0.010630454676266578,0.010632088665410988,-0.14396036159906656,39.598953388494515,6667.07,472.0971439580341,7359.06,6185.05,6870.252142857143,394.59341140701264,7359.06,6185.05,6630.785000000001,372.2318343012074,7359.06,6185.05,6185.05,6395.54,6516.01,7359.06,7302.01,6700.0,-0.14396036159906656,Bearish,0.026859717052814373,LowVol,Bearish_LowVol
