Cars Names,HorsePower_clean,TopSpeed_clean,Accel_clean,Cluster
A8,335.0,250.0,5.7,0
S5 COUPE,349.0,250.0,4.8,0
SQ5,349.0,250.0,5.4,0
S4 SEDAN,349.0,250.0,4.7,0
S3 SEDAN,306.0,250.0,4.8,0
Q7,335.0,250.0,6.3,0
Q5,248.0,240.0,6.3,0
A7,335.0,250.0,5.7,0
A6,335.0,250.0,5.7,0
A5 COUPE,248.0,240.0,6.3,0
A4,248.0,240.0,6.5,0
Q3,248.0,230.0,7.3,0
E-TRON,402.0,200.0,5.5,0
E-TRON SPORTBACK,402.0,200.0,5.5,0
TT COUPE,248.0,250.0,5.3,0
I8 ROADSTER,369.0,250.0,4.4,0
330i,255.0,250.0,5.6,0
M340i XDRIVE,382.0,250.0,4.1,0
430i COUPE,255.0,250.0,5.8,0
M4 COMPETITION,503.0,290.0,3.8,2
530i,248.0,250.0,5.9,0
M550i XDRIVE,523.0,250.0,3.6,2
118i,136.0,213.0,8.5,0
128ti,261.0,250.0,6.1,0
M135i XDRIVE,302.0,250.0,4.8,0
116D,116.0,200.0,10.3,1
120D XDRIVE,190.0,230.0,6.9,0
116i,109.0,200.0,10.9,1
118D,150.0,216.0,8.4,0
120i,178.0,230.0,7.1,0
125i,224.0,240.0,6.1,0
114D,95.0,185.0,12.2,1
114i,102.0,195.0,11.2,1
125D,224.0,240.0,6.3,0
118i XDRIVE,136.0,211.0,8.9,0
116D EFFICIENTDYNAMICS,116.0,200.0,10.9,1
118i SPORTLINE,136.0,213.0,8.5,0
118i M SPORT,136.0,213.0,8.5,0
120i M SPORT,178.0,230.0,7.1,0
116i EFFICIENTDYNAMICS,109.0,195.0,10.9,1
116D ADVANTAGE,116.0,200.0,10.5,1
120D EFFICIENTDYNAMICS,163.0,225.0,7.7,0
118i SHADOW LINE,136.0,213.0,8.5,0
118D SPORT LINE,150.0,216.0,8.4,0
120i XDRIVE,178.0,230.0,7.2,0
114D SPORT LINE,95.0,185.0,12.2,1
118i URBAN LINE,136.0,213.0,8.5,0
XC90,247.0,200.0,6.5,0
XC60,247.0,220.0,6.4,0
S90,295.0,250.0,5.9,0
SPORTAGE LX,187.0,200.0,8.0,0
SPORTAGE EX,187.0,200.0,8.0,0
SPORTAGE GT-LINE,187.0,200.0,8.0,0
SPORTAGE SX TURBO,240.0,210.0,6.7,0
SPORTAGE NIGHTFALL EDITION,187.0,200.0,8.0,0
CIVIC TYPE R,315.0,272.0,5.7,0
SPORTAGE PHEV,261.0,180.0,8.0,0
SPORTAGE 2024(BASE MODEL),187.0,200.0,8.0,0
SPORTAGE 2024(TOP TRIM),240.0,210.0,6.7,0
SPORTAGE 2024(BASE AWD),187.0,200.0,8.3,0
SPORTAGE X-LINE,187.0,200.0,8.0,0
SPORTAGE 2024(S TRIM),187.0,200.0,8.2,0
ACCORD,192.0,201.0,7.1,0
SPORTAGE 2024(HYBRID AWD),227.0,180.0,8.0,0
SPORTAGE 2024(PLUG-IN HYBRID AWD),261.0,180.0,7.9,0
SPORTAGE 2024(X-PRO),187.0,200.0,8.1,0
SPORTAGE 2024(X-PRO PRESTIGE),187.0,200.0,8.1,0
SPORTAGE 2024(SX TURBO AWD),240.0,210.0,6.5,0
SPORTAGE 2024(BASE FWD),187.0,200.0,8.5,0
CR-V,190.0,186.0,8.2,0
PILOT,285.0,209.0,6.3,0
CIVIC HATCHBACK,180.0,220.0,6.8,0
CAMRY,301.0,220.0,6.0,0
COROLLA,139.0,180.0,9.4,1
PRIUS,121.0,180.0,10.5,1
RAV4,203.0,200.0,8.1,0
HIGHLANDER,295.0,220.0,7.2,0
4RUNNER ,270.0,200.0,7.5,0
TACOMA,159.0,180.0,9.5,1
TUNDRA,381.0,220.0,6.7,0
AVALON,301.0,220.0,6.9,0
MIRAI,151.0,180.0,9.2,1
SIENNA,245.0,190.0,8.0,0
VENZA,219.0,200.0,7.5,0
HIGHLANDER HYBRID,240.0,220.0,8.2,0
LAND CRUISER PRADO,282.0,200.0,7.2,0
TUNDRA HYBRID,344.0,220.0,6.2,0
YARIS,106.0,180.0,11.2,1
C-HR,144.0,200.0,10.2,1
BZ4X,218.0,200.0,7.5,0
CROWN,236.0,200.0,7.6,0
MR2,168.0,200.0,6.9,0
CELICA,140.0,200.0,8.5,0
CITY,119.0,180.0,10.2,1
CIVIC,158.0,200.0,8.5,0
I10,87.0,160.0,12.2,1
I20,99.0,180.0,10.5,1
ELANTRA,147.0,200.0,9.5,1
XUV500,155.0,180.0,10.5,1
SCORPIO,140.0,160.0,11.2,1
THAR,150.0,180.0,10.5,1
SWIFT,83.0,160.0,12.2,1
DZIRE,83.0,160.0,12.2,1
BREZZA,103.0,180.0,11.5,1
PRIUS PRIME,220.0,180.0,6.7,0
LAND CRUISER 300,305.0,210.0,6.8,0
TUNDRA I-FORCE MAX,437.0,180.0,6.2,0
COROLLA HATCHBACK XSE,169.0,190.0,8.2,0
MIRAI,152.0,180.0,9.0,1
HILUX GR SPORT,224.0,170.0,10.0,1
ALPHARD EXECUTIVE LOUNGE,296.0,180.0,8.5,0
FORTUNER GR SPORT,204.0,175.0,10.5,1
INNOVA HYCROSS,184.0,165.0,9.5,1
URBAN CRUISER TAISOR,114.0,170.0,11.0,1
AYGO X,71.0,160.0,14.8,1
HILUX REVO ROCCO,204.0,175.0,10.0,1
PROACE VERSO ELECTRIC,136.0,130.0,13.5,1
CENTURY SUV,406.0,200.0,6.0,0
COROLLA SEDAN HYBRID,134.0,180.0,10.0,1
BZ3,241.0,160.0,7.5,0
GR YARIS,268.0,230.0,5.5,0
SANTA FE,253.0,180.0,9.3,1
IONIQ 5,225.0,185.0,7.4,0
Santa Cruz,281.0,215.0,6.5,0
Elantra,147.0,210.0,8.3,0
Urvan,2488.0,140.0,14.0,2
IONIQ 6,320.0,185.0,5.2,0
Tucson,187.0,180.0,6.1,0
Palisade,291.0,240.0,6.3,0
Sonata,191.0,240.0,8.0,0
Accent,120.0,180.0,9.8,1
Venue,121.0,180.0,9.5,1
KONA Electric,200.0,200.0,6.1,0
Veloster,275.0,220.0,6.0,0
NEXO,161.0,180.0,7.8,0
Ioniq,139.0,160.0,8.5,1
Genesis,291.0,240.0,6.3,0
Azera,278.0,240.0,6.5,0
Equus,278.0,240.0,6.5,0
Tiburon,160.0,200.0,8.2,0
Elantra GT,160.0,200.0,8.3,0
Golf,215.0,210.0,8.5,0
Passat,215.0,210.0,7.8,0
Tiguan,190.0,209.0,8.5,0
Jetta,189.0,210.0,7.7,0
Polo,140.0,190.0,9.5,1
Arteon,215.0,250.0,5.6,0
ID.4,251.5,160.0,7.8,0
Up!,82.0,160.0,13.0,1
Touareg,365.5,235.0,5.9,0
Scirocco,202.5,233.0,6.0,0
Beetle,157.5,205.0,7.0,0
Amarok,210.5,180.0,7.9,0
T-Roc,207.5,205.0,7.2,0
Sharan,185.0,200.0,9.3,1
Caddy,126.0,185.0,10.5,1
NV1500,261.0,160.0,9.5,1
Taigo,122.5,183.0,10.0,1
California,177.0,180.0,13.0,1
ID.3,204.0,160.0,7.3,0
ID. Buzz,204.0,145.0,10.2,1
Golf GTI,245.0,250.0,5.9,0
Golf R,315.0,250.0,4.6,0
Passat Alltrack,215.0,220.0,7.8,0
Polo GTI,204.0,238.0,6.7,0
Up! GTI,115.0,196.0,8.8,1
T-Cross,122.5,200.0,10.2,1
ID.5,236.5,180.0,8.4,0
ID. Buzz Cargo,204.0,145.0,10.2,1
Touareg R,462.0,250.0,5.1,0
Multivan,184.0,190.0,9.4,1
Polo BlueMotion,85.0,190.0,10.5,1
Golf Sportsvan,140.0,210.0,8.9,0
Golf Alltrack,173.5,210.0,7.1,0
Scirocco R,280.0,250.0,5.5,0
Tiguan Allspace,207.0,215.0,7.6,0
Arteon 4MOTION,255.0,250.0,5.6,0
ID.4 GTX,299.0,180.0,6.2,0
ID.3 Pro,204.0,160.0,7.3,0
Golf Variant,140.0,220.0,7.5,0
Crafter,139.5,160.0,13.0,1
Lupo,67.5,170.0,14.3,1
Corrado,190.0,235.0,6.4,0
Phaeton,345.0,250.0,6.1,0
Golf Cabriolet,157.5,217.0,8.4,0
Santana,110.0,190.0,12.9,1
Polo Vivo,95.0,170.0,10.8,1
Karmann Ghia,47.0,138.0,23.0,1
Fox,65.0,148.0,17.5,1
Vento,107.5,186.0,11.7,1
Golf Electric,136.0,140.0,10.4,1
Bora,125.0,200.0,9.4,1
Teramont,255.5,190.0,8.6,0
Taos,158.0,193.0,8.4,0
