myear,fuel,transmission,km,body,Color,Engine Type,No of Cylinder,Length,Width,Height,Seats,Gear Box,Drive Type,Steering Type,owner_type,state,City,listed_price
2021,diesel,manual,29877.0,suv,white,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,tamil nadu,coimbatore,1075000.0
2011,petrol,manual,60000.0,hatchback,white,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,uttar pradesh,azamgarh,150000.0
2019,petrol,manual,26740.0,suv,white,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,bihar,muzaffarpur,750000.0
2017,petrol,manual,46266.0,hatchback,white,ti-vct petrol engine,4.0,3886.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,tamil nadu,coimbatore,475000.0
2010,petrol,manual,100000.0,hatchback,silver,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,rajasthan,bikaner,135000.0
2020,petrol,automatic,50000.0,suv,other,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,6 speed,fwd,power,first,tamil nadu,chennai,900000.0
2005,petrol,manual,50000.0,sedan,silver,in-line engine,4.0,4140.0,1634.0,1379.0,5.0,5 speed,fwd,power,fourth,maharashtra,wardha,101000.0
2016,diesel,manual,90000.0,suv,silver,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,gujarat,anand,685000.0
2012,diesel,manual,120000.0,hatchback,white,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,gujarat,padra,145000.0
2012,diesel,manual,120000.0,hatchback,white,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,gujarat,padra,145000.0
2010,diesel,automatic,100000.0,suv,white,in-line engine,4.0,5060.0,1788.0,1826.0,7.0,5 speed,4wd,power,fourth,bihar,gopalganj,600000.0
2013,petrol,manual,110000.0,suv,white,ti-vct petrol engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,third,gujarat,ahmedabad,375000.0
2012,petrol,manual,100000.0,hatchback,white,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,rajasthan,jodhpur,100000.0
2014,diesel,manual,140000.0,suv,black,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,fourth,madhya pradesh,balaghat,420000.0
2016,petrol,manual,35000.0,suv,brown,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,480000.0
2012,petrol,manual,43000.0,hatchback,white,duratec petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,west bengal,siliguri,150000.0
2017,diesel,manual,110000.0,sedan,white,tdci diesel engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,tamil nadu,chennai,450000.0
2019,diesel,manual,44000.0,suv,black,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,bihar,patna,800000.0
2018,diesel,manual,65000.0,suv,silver,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,uttarakhand,dehradun,850000.0
2017,petrol,manual,28600.0,hatchback,white,ti-vct petrol engine,4.0,3886.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,maharashtra,thane,435000.0
2011,diesel,manual,120000.0,hatchback,white,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,haryana,kurukshetra,61470.0
2019,diesel,manual,7450.0,suv,gray,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,telangana,hyderabad,1050000.0
2013,diesel,manual,70000.0,hatchback,white,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,punjab,firozpur,180000.0
2010,petrol,manual,70000.0,hatchback,red,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,uttar pradesh,allahabad,185000.0
2009,diesel,manual,90000.0,sedan,white,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,fourth,madhya pradesh,ratlam,120000.0
2017,diesel,manual,120000.0,sedan,silver,tdci diesel engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,maharashtra,solapur,550000.0
2017,diesel,manual,104936.0,suv,white,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,uttarakhand,almora,500000.0
2018,petrol,manual,16500.0,suv,gray,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,uttar pradesh,greater noida,600000.0
2013,diesel,manual,120000.0,suv,white,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,second,telangana,hyderabad,460000.0
2013,diesel,manual,80000.0,hatchback,blue,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,uttar pradesh,gorakhpur,200000.0
2013,petrol,manual,84000.0,suv,white,ecoboost petrol engine,3.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,chhattisgarh,raipur,425000.0
2013,petrol,manual,75000.0,hatchback,blue,ti-vct petrol engine,3.0,3941.0,1704.0,1525.0,5.0,5 speed,fwd,power,first,kerala,palakkad,230000.0
2016,petrol,automatic,80522.0,suv,white,ti-vct petrol engine,4.0,3999.0,1765.0,1708.0,5.0,6 speed,fwd,power,first,karnataka,bangalore,745000.0
2020,diesel,manual,50000.0,suv,white,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,uttar pradesh,faizabad,950000.0
2014,diesel,manual,74850.0,suv,black,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,second,maharashtra,aurangabad,495000.0
2007,petrol,manual,120000.0,sedan,golden,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,first,telangana,hyderabad,125000.0
2013,diesel,manual,80000.0,sedan,white,1.5 l tdci,4.0,4291.0,1722.0,1496.0,5.0,5 speed,2wd,power,first,tamil nadu,viluppuram,350000.0
2014,diesel,manual,39100.0,hatchback,white,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,punjab,jalandhar,310000.0
2011,diesel,manual,199559.0,sedan,silver,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,2wd,power,second,pondicherry,pondicherry,175000.0
2016,diesel,manual,141000.0,suv,black,diesel engine,4.0,4892.0,1860.0,1837.0,7.0,6 speed,4wd,power,first,uttar pradesh,noida,1400000.0
2019,diesel,manual,40000.0,suv,black,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,gujarat,vadodara,665000.0
2008,diesel,manual,152000.0,hatchback,white,in-line engine,4.0,3989.0,1720.0,1529.0,5.0,5 speed,fwd,power,first,rajasthan,jodhpur,155000.0
2008,diesel,manual,152000.0,hatchback,white,in-line engine,4.0,3989.0,1720.0,1529.0,5.0,5 speed,fwd,power,first,rajasthan,jodhpur,152000.0
2020,petrol,manual,30000.0,suv,brown,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,uttar pradesh,sahibabad,800000.0
2015,petrol,manual,144000.0,suv,silver,ecoboost petrol engine,3.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,tamil nadu,dindigul,525000.0
2018,petrol,manual,47000.0,suv,brown,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,delhi,new delhi,775000.0
2011,petrol,manual,60000.0,hatchback,red,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,delhi,new delhi,110000.0
2018,diesel,manual,120000.0,suv,black,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,telangana,warangal,700000.0
2010,diesel,manual,100000.0,hatchback,white,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,madhya pradesh,bhopal,210000.0
2016,diesel,manual,39000.0,hatchback,red,tdci diesel engine,4.0,3886.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,uttar pradesh,agra,300000.0
2013,diesel,manual,100000.0,sedan,black,tdci diesel engine,4.0,4291.0,1722.0,1496.0,5.0,5 speed,fwd,power,first,telangana,hyderabad,300000.0
2010,petrol,manual,83423.0,sedan,silver,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,first,haryana,gurgaon,90000.0
2009,petrol,manual,90000.0,sedan,black,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,fourth,maharashtra,nagpur,125000.0
2011,diesel,manual,100000.0,hatchback,other,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,andhra pradesh,visakhapatnam,150000.0
2017,diesel,automatic,92000.0,suv,white,tdci diesel engine,4.0,4903.0,1869.0,1837.0,7.0,6 speed,4wd,power,first,delhi,new delhi,2300000.0
2021,diesel,manual,25000.0,suv,gray,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,maharashtra,nagpur,925000.0
2009,diesel,manual,90000.0,sedan,white,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,third,uttar pradesh,bahraich,160000.0
2020,diesel,manual,25000.0,hatchback,brown,1.5 litre diesel engine,4.0,3954.0,1737.0,1570.0,5.0,5 speed,fwd,power,first,uttar pradesh,varanasi,750000.0
2018,petrol,manual,25000.0,suv,white,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,goa,margao,700000.0
2012,diesel,manual,120000.0,hatchback,white,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,rajasthan,jodhpur,111000.0
2015,diesel,manual,54953.0,suv,diamond white,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,second,delhi,new delhi,330000.0
2017,diesel,manual,120000.0,suv,white,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,andhra pradesh,kadapa,700000.0
2017,diesel,automatic,90000.0,suv,white,diesel engine,4.0,4892.0,1860.0,1837.0,7.0,6 speed,4wd,power,second,odisha,bhubaneswar,2500000.0
2006,diesel,manual,100000.0,sedan,orange,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,second,tamil nadu,vellore,110000.0
2010,diesel,manual,90000.0,hatchback,white,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,uttarakhand,roorkee,120000.0
2015,petrol,automatic,72603.0,suv,white,ti-vct petrol engine,4.0,3999.0,1765.0,1708.0,5.0,6 speed,fwd,power,second,maharashtra,pune,450000.0
2011,diesel,manual,198000.0,sedan,white,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,third,maharashtra,buldhana,140000.0
2012,diesel,manual,100000.0,hatchback,gray,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,uttarakhand,haridwar,118254.0
2010,diesel,manual,80000.0,sedan,silver,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,first,tamil nadu,coimbatore,310000.0
2020,diesel,manual,40000.0,suv,white,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,jharkhand,dhanbad,750000.0
2010,diesel,manual,132000.0,hatchback,gray,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,maharashtra,amravati,165000.0
2013,diesel,manual,110000.0,suv,white,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,second,west bengal,siliguri,351000.0
2021,petrol,manual,11000.0,hatchback,brown,1.2 litre petrol engine,3.0,3954.0,1737.0,1570.0,5.0,5 speed,fwd,power,first,telangana,hyderabad,750000.0
2019,diesel,manual,48737.0,suv,absolute black,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,haryana,gurgaon,800000.0
2016,petrol,manual,40000.0,sedan,orange,ti-vct petrol engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,jharkhand,dhanbad,315000.0
2020,diesel,automatic,141000.0,suv,maroon,ecoblue engine,4.0,4903.0,1869.0,1837.0,7.0,10 speed,4wd,power,first,karnataka,bangalore,3250000.0
2010,petrol,manual,70000.0,hatchback,white,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,fourth,uttar pradesh,sitapur,165000.0
2014,petrol,manual,120000.0,hatchback,white,duratec petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,maharashtra,miraj,250000.0
2019,petrol,manual,40000.0,sedan,silver,ti-vct petrol engine,3.0,3995.0,1704.0,1525.0,5.0,5 speed,fwd,power,first,west bengal,kolkata,350000.0
2014,diesel,manual,120000.0,suv,gray,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,second,gujarat,anand,450000.0
2015,petrol,manual,52773.0,suv,orange,ti-vct petrol engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,maharashtra,thane,439000.0
2015,diesel,manual,72000.0,hatchback,white,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,haryana,faridabad,235000.0
2015,petrol,manual,73329.0,hatchback,silver,ti-vct petrol engine,4.0,3886.0,1695.0,1525.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,370000.0
2016,petrol,manual,90000.0,sedan,red,ti-vct petrol engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,goa,ponda,400000.0
2019,petrol,manual,15000.0,hatchback,brown,1.2 litre petrol engine,3.0,3954.0,1737.0,1570.0,5.0,5 speed,fwd,power,first,jammu & kashmir,srinagar,580000.0
2021,diesel,automatic,25000.0,suv,white,ecoblue engine,4.0,4903.0,1869.0,1837.0,7.0,10 speed,rwd,power,first,odisha,bhubaneswar,3300000.0
2014,petrol,manual,164500.0,suv,white,ecoboost petrol engine,3.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,haryana,panipat,290000.0
2013,petrol,manual,60000.0,hatchback,silver,duratec petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,maharashtra,pandharpur,250000.0
2015,petrol,automatic,27349.0,suv,smoke grey,ti-vct petrol engine,4.0,3999.0,1765.0,1708.0,5.0,6 speed,fwd,power,third,karnataka,bangalore,500000.0
2012,diesel,manual,90000.0,hatchback,white,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,gujarat,bharuch,225000.0
2017,diesel,manual,135000.0,suv,white,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,chandigarh,chandigarh,500000.0
2018,petrol,manual,80000.0,hatchback,other,1.2 litre petrol engine,3.0,3954.0,1737.0,1570.0,5.0,5 speed,fwd,power,first,kerala,kollam,450000.0
2011,diesel,manual,75000.0,sedan,white,tdci diesel engine,4.0,4291.0,1722.0,1496.0,5.0,5 speed,fwd,power,third,odisha,bhubaneswar,165000.0
2019,diesel,manual,58000.0,suv,white,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,madhya pradesh,satna,750000.0
2011,diesel,manual,70000.0,hatchback,silver,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,madhya pradesh,indore,160000.0
2012,diesel,manual,70000.0,sedan,white,1.5 l tdci,4.0,4291.0,1722.0,1496.0,5.0,5 speed,2wd,power,first,jharkhand,baharagora,300000.0
2010,petrol,manual,70000.0,hatchback,white,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,uttarakhand,nainital,150000.0
2018,diesel,manual,90000.0,suv,white,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,second,maharashtra,nashik,700000.0
2016,petrol,manual,110000.0,hatchback,white,ti vct petrol engine,4.0,3886.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,rajasthan,jodhpur,380000.0
2021,diesel,manual,30000.0,suv,white,1.5 l diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,chandigarh,chandigarh,950000.0
2015,diesel,manual,80000.0,suv,white,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,tamil nadu,chennai,485000.0
2019,diesel,manual,60000.0,sedan,white,tdci diesel engine,4.0,3995.0,1704.0,1525.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,600000.0
2020,diesel,manual,60000.0,sedan,red,tdci diesel engine,4.0,3995.0,1704.0,1525.0,5.0,5 speed,fwd,power,first,andhra pradesh,guntur,620000.0
2016,diesel,manual,130000.0,suv,other,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,punjab,ludhiana,550000.0
2011,diesel,manual,90000.0,suv,white,tdci diesel engine,4.0,5060.0,1788.0,1826.0,7.0,5 speed,fwd,power,first,madhya pradesh,jabalpur,450000.0
2013,diesel,manual,70000.0,suv,orange,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,madhya pradesh,indore,500000.0
2011,diesel,manual,110000.0,hatchback,white,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,gujarat,amreli,110000.0
2016,diesel,manual,120000.0,suv,white,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,maharashtra,pune,600000.0
2018,petrol,manual,50000.0,sedan,red,ti-vct petrol engine,3.0,3995.0,1704.0,1525.0,5.0,5 speed,fwd,power,second,chhattisgarh,bastar,420000.0
2012,petrol,manual,90000.0,hatchback,green,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,west bengal,kolkata,130000.0
2017,diesel,manual,70000.0,sedan,black,tdci diesel engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,third,telangana,hyderabad,350000.0
2018,diesel,automatic,30000.0,suv,red,diesel engine,4.0,4892.0,1860.0,1837.0,7.0,6 speed,4wd,power,second,uttar pradesh,rampur,2850000.0
2017,petrol,manual,55000.0,sedan,white,ti-vct petrol engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,rajasthan,udaipur,350000.0
2010,petrol,manual,110000.0,sedan,white,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,180000.0
2004,diesel,manual,157000.0,suv,brown,tdci diesel engine,4.0,5060.0,1788.0,1826.0,7.0,5 speed,fwd,power,second,uttar pradesh,sultanpur,400000.0
2012,diesel,manual,120000.0,suv,other,tdci diesel engine,4.0,5060.0,1788.0,1826.0,7.0,5 speed,fwd,power,second,uttar pradesh,sultanpur,400000.0
2007,diesel,manual,148000.0,sedan,silver,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,fourth,maharashtra,kolhapur,120000.0
2013,diesel,automatic,60800.0,suv,white,tdci diesel engine,4.0,5060.0,1788.0,1826.0,7.0,5 speed,fwd,power,third,delhi,new delhi,451000.0
2020,diesel,manual,42000.0,suv,white,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,975000.0
2018,diesel,manual,25000.0,suv,white,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,chhattisgarh,korba,798000.0
2016,diesel,automatic,89283.0,suv,sunset red,diesel engine,4.0,4892.0,1860.0,1837.0,7.0,6 speed,4wd,power,second,delhi,new delhi,1770000.0
2019,diesel,manual,8000.0,suv,other,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,bihar,patna,800000.0
2018,petrol,automatic,30000.0,suv,white,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,6 speed,fwd,power,second,maharashtra,thane,750000.0
2009,diesel,manual,120000.0,sedan,other,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,second,uttar pradesh,pratapgarh,150000.0
2020,petrol,manual,7000.0,suv,white,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,jammu & kashmir,srinagar,800000.0
2010,petrol,manual,40000.0,hatchback,chill,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,tamil nadu,chennai,230000.0
2011,petrol,manual,90000.0,hatchback,gray,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,karnataka,bijapur,199999.0
2019,petrol,manual,30000.0,suv,white,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,bihar,patna,750000.0
2018,diesel,manual,63190.0,suv,brown,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,995000.0
2015,petrol,automatic,31717.0,suv,orange,ti-vct petrol engine,4.0,3999.0,1765.0,1708.0,5.0,6 speed,fwd,power,third,karnataka,bangalore,615000.0
2016,diesel,manual,80000.0,suv,brown,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,first,bihar,muzaffarpur,500000.0
2003,petrol,manual,90000.0,sedan,silver,in-line engine,4.0,4140.0,1634.0,1379.0,5.0,5 speed,fwd,power,third,odisha,berhampur,56000.0
2016,diesel,manual,67500.0,suv,white,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,third,uttar pradesh,raebareli,450000.0
2017,diesel,manual,20000.0,sedan,white,tdci diesel engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,west bengal,kharagpur,300000.0
2009,petrol,manual,120000.0,sedan,other,,4.0,,,,5.0,,,power,third,karnataka,kengeri,170000.0
2018,petrol,manual,30000.0,suv,red,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,west bengal,kolkata,700000.0
2010,petrol,manual,70000.0,hatchback,red,petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,maharashtra,nashik,160000.0
2018,diesel,manual,50000.0,suv,black,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,rajasthan,kota,750000.0
2017,petrol,manual,44849.0,suv,white,ti-vct petrol engine,3.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,maharashtra,thane,595000.0
2014,petrol,manual,20000.0,suv,white,ecoboost petrol engine,3.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,second,delhi,new delhi,600000.0
2012,diesel,manual,90000.0,hatchback,silver,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,maharashtra,nashik,250000.0
2012,diesel,manual,97000.0,sedan,white,tdci diesel engine,4.0,4291.0,1722.0,1496.0,5.0,5 speed,fwd,power,fourth,rajasthan,kota,170000.0
2003,petrol,manual,40000.0,sedan,gray,in-line engine,4.0,4140.0,1634.0,1379.0,5.0,5 speed,fwd,power,second,rajasthan,udaipur,250000.0
2017,petrol,manual,480000.0,sedan,red,ti-vct petrol engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,karnataka,shimoga,480000.0
2018,diesel,automatic,114000.0,suv,white,diesel engine,4.0,4892.0,1860.0,1837.0,7.0,6 speed,4wd,power,second,karnataka,bangalore,3025000.0
2019,diesel,manual,70000.0,suv,brown,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,chhattisgarh,raipur,790000.0
2015,diesel,manual,155000.0,suv,white,tdci diesel engine,4.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,second,haryana,faridabad,330000.0
2015,diesel,manual,80000.0,sedan,white,tdci diesel engine,4.0,4320.0,1764.0,1486.0,5.0,5 speed,fwd,power,second,maharashtra,nagpur,350000.0
2017,petrol,manual,20000.0,sedan,black,ti-vct petrol engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,jharkhand,deoghar,450000.0
2017,diesel,manual,60500.0,hatchback,white,tdci diesel engine,4.0,3886.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,gujarat,valsad,545000.0
2014,diesel,manual,101290.0,hatchback,white,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,punjab,patiala,200000.0
2014,diesel,manual,80000.0,hatchback,silver,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,west bengal,suri,200000.0
2012,diesel,manual,100000.0,hatchback,silver,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,haryana,kaithal,200000.0
2015,diesel,manual,107580.0,sedan,white,tdci diesel engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,kerala,thrissur,330000.0
2015,petrol,manual,70000.0,suv,white,ecoboost petrol engine,3.0,3999.0,1765.0,1708.0,5.0,5 speed,fwd,power,third,chandigarh,chandigarh,450000.0
2013,diesel,manual,96000.0,hatchback,white,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,fourth,punjab,patiala,300000.0
2013,petrol,manual,38000.0,hatchback,blue,duratec petrol engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,uttar pradesh,lucknow,250000.0
2010,diesel,manual,90000.0,hatchback,white,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,second,punjab,ludhiana,190000.0
2012,diesel,manual,70000.0,hatchback,gray,diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,uttar pradesh,maharajganj,160000.0
2012,diesel,manual,110000.0,hatchback,white,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,third,haryana,ambala,190000.0
2017,diesel,manual,100000.0,suv,other,tdci diesel engine,4.0,3998.0,1765.0,1647.0,5.0,5 speed,fwd,power,first,delhi,new delhi,650000.0
2012,diesel,manual,171722.0,sedan,red,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,second,tamil nadu,tiruchirappalli,190000.0
2007,petrol,manual,90000.0,sedan,black,in-line engine,4.0,4140.0,1634.0,1379.0,5.0,5 speed,fwd,power,fourth,karnataka,kushalanagar,100000.0
2014,diesel,manual,120000.0,hatchback,white,duratorq diesel engine,4.0,3795.0,1680.0,1427.0,5.0,5 speed,fwd,power,first,uttar pradesh,bareilly,180000.0
2007,petrol,manual,110000.0,sedan,silver,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,third,karnataka,belthangady,150000.0
2007,petrol,manual,110000.0,sedan,silver,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,third,karnataka,belthangady,155000.0
2006,diesel,manual,100000.0,sedan,other,in-line engine,4.0,4282.0,1686.0,1468.0,5.0,5 speed,fwd,power,fourth,karnataka,belgaum,150000.0
2017,diesel,manual,40000.0,sedan,,tdci diesel engine,4.0,3995.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,maharashtra,dombivli,500000.0
2017,petrol,manual,50000.0,hatchback,,ti-vct petrol engine,4.0,3886.0,1695.0,1525.0,5.0,5 speed,fwd,power,third,karnataka,hospet,500000.0
2017,petrol,manual,40000.0,hatchback,white,ti-vct petrol engine,4.0,3886.0,1695.0,1525.0,5.0,5 speed,fwd,power,first,madhya pradesh,bhopal,450000.0
